X,Y,,,,,,value
2,39,,,,,,Pass
3,39,,,,,,Pass
4,39,,,,,,Pass
5,39,,,,,,Pass
6,39,,,,,,Pass
7,39,,,,,,Pass
8,39,,,,,,Pass
9,39,,,,,,Pass
10,39,,,,,,Pass
11,39,,,,,,Pass
12,39,,,,,,Pass
13,39,,,,,,Pass
14,39,,,,,,Pass
15,39,,,,,,Pass
16,39,,,,,,Pass
17,39,,,,,,Pass
18,39,,,,,,Pass
19,39,,,,,,Pass
20,39,,,,,,Pass
21,39,,,,,,Pass
22,39,,,,,,Pass
23,39,,,,,,Pass
25,39,,,,,,Pass
26,39,,,,,,Pass
27,39,,,,,,Pass
28,39,,,,,,Pass
28,38,,,,,,Pass
27,38,,,,,,Pass
26,38,,,,,,Pass
25,38,,,,,,Pass
24,38,,,,,,Pass
23,38,,,,,,Pass
22,38,,,,,,Pass
21,38,,,,,,Pass
20,38,,,,,,Pass
19,38,,,,,,Pass
18,38,,,,,,Pass
17,38,,,,,,Pass
16,38,,,,,,Pass
15,38,,,,,,Pass
14,38,,,,,,Pass
13,38,,,,,,Pass
12,38,,,,,,Pass
11,38,,,,,,Pass
10,38,,,,,,Pass
9,38,,,,,,Pass
7,38,,,,,,Pass
6,38,,,,,,Pass
5,38,,,,,,Pass
4,38,,,,,,Pass
3,38,,,,,,Pass
2,38,,,,,,Pass
1,38,,,,,,Pass
0,38,,,,,,Pass
-1,38,,,,,,Pass
-2,38,,,,,,Pass
-3,38,,,,,,Pass
-4,38,,,,,,Pass
-5,38,,,,,,Pass
-6,38,,,,,,Pass
-7,38,,,,,,Pass
-8,38,,,,,,Pass
-9,38,,,,,,Pass
-10,38,,,,,,Pass
-11,38,,,,,,Pass
-13,38,,,,,,Pass
-14,38,,,,,,Pass
-16,38,,,,,,Pass
-17,38,,,,,,Pass
-17,37,,,,,,Pass
-16,37,,,,,,Pass
-15,37,,,,,,Pass
-14,37,,,,,,Pass
-13,37,,,,,,Pass
-12,37,,,,,,Pass
-11,37,,,,,,Pass
-10,37,,,,,,Pass
-9,37,,,,,,Pass
-8,37,,,,,,Pass
-7,37,,,,,,Pass
-6,37,,,,,,Pass
-5,37,,,,,,Pass
-4,37,,,,,,Pass
-3,37,,,,,,Pass
-2,37,,,,,,Pass
0,37,,,,,,Pass
1,37,,,,,,Pass
2,37,,,,,,Pass
3,37,,,,,,Pass
4,37,,,,,,Pass
5,37,,,,,,Pass
6,37,,,,,,Pass
7,37,,,,,,Pass
8,37,,,,,,Pass
9,37,,,,,,Pass
10,37,,,,,,Pass
11,37,,,,,,Pass
13,37,,,,,,Pass
14,37,,,,,,Pass
15,37,,,,,,Pass
16,37,,,,,,Pass
17,37,,,,,,Pass
19,37,,,,,,Pass
20,37,,,,,,Pass
21,37,,,,,,Pass
22,37,,,,,,Pass
23,37,,,,,,Pass
24,37,,,,,,Pass
25,37,,,,,,Pass
26,37,,,,,,Pass
27,37,,,,,,Pass
28,37,,,,,,Pass
29,37,,,,,,Pass
29,36,,,,,,Pass
28,36,,,,,,Pass
27,36,,,,,,Pass
26,36,,,,,,Pass
25,36,,,,,,Pass
24,36,,,,,,Pass
23,36,,,,,,Pass
22,36,,,,,,Pass
21,36,,,,,,Pass
20,36,,,,,,Pass
